episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,5551.016988637331,195.37799000000004,1.0,0.9,0.9,0.6832772019126125,39.290677309036255
2,10,4575.714254423995,144.69327999999996,1.0,0.9,0.9,0.7015273109110295,25.97354745864868
3,10,2640.4341953441553,82.65182999999999,1.0,1.0,1.0,0.5613404342005704,23.72159719467163
4,10,5523.1354638547,194.11613000000028,1.0,0.9,0.9,0.6915302183701868,31.991379976272583
5,10,3435.436177212026,127.44786000000006,1.0,1.0,1.0,0.6417723072549272,24.331738233566284
6,10,8395.47930654269,291.27935,1.0,1.0,1.0,0.8179529310658271,37.647010803222656
7,10,6446.289343965461,236.59875000000005,1.0,0.8,0.8,0.7313700447435383,38.348844051361084
8,10,5479.185965156632,182.96970000000005,1.0,0.9,0.9,0.7310324572140573,30.885188579559326
9,10,2641.986990991803,89.80237000000014,1.0,0.9,0.9,0.5805123855736901,26.12620711326599
10,10,4649.129303070358,169.72017000000005,1.0,0.8,0.8,0.6746747884785326,30.36853265762329
