episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,50,4312.94524759444,122.19011000000006,1.0,0.98,0.98,0.7244042417528485,399.98165130615234
2,50,5333.985505841036,154.19929199999996,1.0,0.96,0.96,0.7902968200184564,421.85433864593506
3,50,5070.380148503752,136.15469400000003,1.0,0.96,0.96,0.7773095806345475,261.5323951244354
4,50,5523.154173497756,159.96178600000007,1.0,0.94,0.94,0.7889187507430715,305.40606236457825
5,50,5049.794361098496,145.3662720000001,1.0,0.94,0.94,0.7570631772161959,269.7627730369568
6,50,6867.204894443561,193.7375720000001,1.0,0.94,0.94,0.8393731032392766,399.20395946502686
7,50,4849.185804442273,148.52092200000004,1.0,0.94,0.94,0.7547248979294925,243.7437515258789
8,50,5681.303791917998,168.03769000000003,1.0,0.86,0.86,0.7921051681748328,339.728627204895
9,50,3682.519346342961,106.62717000000006,1.0,0.9,0.9,0.6873862228401908,212.52594351768494
10,50,5679.868441949082,163.70530400000004,1.0,0.9,0.9,0.8126251440562701,306.40816926956177
