episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,5812.633010680789,342.8053000000006,1.0,1.0,1.0,0.7082400121189967,134.40467143058777
2,10,4828.538865153385,279.29167999999976,1.0,0.9,0.9,0.6688998991133613,117.94496631622314
3,10,2842.306360656429,128.7097199999999,1.0,1.0,1.0,0.603967789790693,85.12914705276489
4,10,5621.531870196171,297.37834,1.0,0.9,0.9,0.689087617885746,169.8139979839325
5,10,3909.295654556497,207.99659000000005,1.0,0.9,0.9,0.6184849872029627,150.2351429462433
6,10,8440.481417918227,467.93975000000074,1.0,1.0,1.0,0.8050414265343387,249.57193779945374
7,10,6724.450238550021,380.0301700000004,1.0,0.8,0.8,0.7525558525409783,211.7013475894928
8,10,5714.936454533865,314.2031400000002,1.0,1.0,1.0,0.7594677125528547,169.9881715774536
9,10,2918.834418440495,132.07468,1.0,0.8,0.8,0.5585961079080971,124.97720170021057
10,10,4689.770265796737,277.81951000000055,1.0,0.7,0.7,0.7196245402224484,147.63844799995422
