episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,6033.359048518307,473.61812000000174,1.0,1.0,1.0,0.7315794332986495,423.72888565063477
2,10,5092.189666515628,377.92707000000087,1.0,0.9,0.9,0.7139281501544508,279.00174736976624
3,10,3148.734118563698,196.6398500000003,1.0,1.0,1.0,0.5911041856661066,192.26597929000854
4,10,5933.553398559872,431.97674000000063,1.0,0.9,0.9,0.6993536980032725,336.86699175834656
5,10,4220.948762308083,280.5535400000003,1.0,1.0,1.0,0.6437476869404571,233.69815611839294
6,10,8763.546977747841,655.956890000002,1.0,1.0,1.0,0.8029871444917652,568.7215287685394
7,10,6905.821698997303,538.1832900000013,1.0,0.8,0.8,0.7252295745807742,500.4727613925934
8,10,5920.742869400826,462.8923100000011,1.0,1.0,1.0,0.7284765278115365,403.59478092193604
9,10,3241.195811390645,181.91815000000005,1.0,0.9,0.9,0.6003406755088175,176.30379366874695
10,10,5019.723638900435,406.10861000000125,1.0,0.8,0.8,0.7014010293088587,280.15886425971985
