episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,4425.843016742068,58.46617999999997,1.0,1.0,1.0,0.6771249544403227,1.3062362670898438
2,10,4228.694043266807,53.41874,1.0,0.8,0.8,0.6786084770005242,1.677994728088379
3,10,4127.974400538795,47.319749999999985,1.0,1.0,1.0,0.686820271864798,1.3399279117584229
4,10,3991.57666784006,49.21253999999999,1.0,0.9,0.9,0.6704422238384862,1.3622336387634277
5,10,5028.3089391232115,67.71982,1.0,1.0,1.0,0.7063304975239358,1.6049964427947998
6,10,2386.8861338768065,34.91145999999999,1.0,1.0,1.0,0.5238662817266388,1.0419623851776123
7,10,2133.7475593208014,30.70525999999999,1.0,0.9,0.9,0.5110136070979445,1.002415657043457
8,10,6366.437850543012,73.18787999999999,1.0,1.0,1.0,0.7697445179780154,1.618462324142456
9,10,4292.587844946905,56.15276999999999,1.0,0.7,0.7,0.6017402945113787,1.4566683769226074
10,10,3216.209167658353,41.010449999999985,1.0,0.8,0.8,0.5921503731258884,1.0480515956878662
