episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,50,4297.1906055207955,120.67587800000008,1.0,0.96,0.96,0.7219304651731567,242.80521082878113
2,50,5317.876261659993,156.05001999999996,1.0,0.98,0.98,0.7908690841893606,289.42850399017334
3,50,5076.70688987464,135.94438400000004,1.0,0.98,0.98,0.7826458020119014,230.8744695186615
4,50,5507.285121581318,161.47601800000007,1.0,0.94,0.94,0.7883731637785193,264.48877716064453
5,50,5041.0874421021235,143.3893580000001,1.0,0.92,0.92,0.7526563093400901,312.4815285205841
6,50,6864.02310786368,194.28437800000006,1.0,0.96,0.96,0.8338321642326035,558.3181781768799
7,50,4851.688982108076,149.53041000000002,1.0,0.94,0.94,0.7487380832325096,299.6673491001129
8,50,5662.2720807270425,167.15438800000007,1.0,0.9,0.9,0.7917473970961629,371.92512345314026
9,50,3683.3662782241277,105.65974400000005,1.0,0.92,0.92,0.7070721490333897,172.0963053703308
10,50,5696.51682125332,163.70530400000007,1.0,0.92,0.92,0.8107535983536991,268.6708858013153
