episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,6127.80112145567,633.8743400000031,1.0,1.0,1.0,0.7219209173360456,1141.4927546977997
2,10,5275.482305959012,546.8060000000025,1.0,1.0,1.0,0.6897060068337416,851.2093963623047
3,10,3479.038289190503,314.4134500000011,1.0,1.0,1.0,0.5113403013366716,594.5010974407196
4,10,6051.244657553298,612.0021000000036,1.0,0.9,0.9,0.694044339816926,1374.0551357269287
5,10,4620.424455290058,431.1355000000009,1.0,1.0,1.0,0.6734371605389008,654.5123844146729
6,10,9077.026931782106,968.2672400000076,1.0,1.0,1.0,0.7990757323913906,2156.249536752701
7,10,7246.784185232886,794.5511800000044,1.0,0.9,0.9,0.7333977775921914,1344.9880781173706
8,10,6391.336120011215,600.4350500000035,1.0,1.0,1.0,0.745781755738393,1162.3283953666687
9,10,3567.027719963263,249.84828000000067,1.0,0.9,0.9,0.6266699306625751,431.0071904659271
10,10,5286.292516638062,543.8616600000034,1.0,0.8,0.8,0.7060629668094712,858.3969469070435
