episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,5798.238102833093,219.14302000000026,1.0,1.0,1.0,0.6700353956739963,32.4863817691803
2,10,4841.65582165215,233.44410000000016,1.0,0.9,0.9,0.5053873358194092,35.612016916275024
3,10,2702.0725057091972,126.60662000000009,1.0,0.8,0.8,0.43989199272957824,31.510076999664307
4,10,5843.005874830442,243.3286700000001,1.0,0.8,0.8,0.6293422490922924,35.482933044433594
5,10,3590.229841120603,167.61707000000015,1.0,0.6,0.6,0.50496038128973,27.914879083633423
6,10,8625.376819649338,348.48367000000036,1.0,0.9,0.9,0.6958011700938042,38.505497455596924
7,10,6841.569152710081,278.66075000000023,1.0,0.8,0.8,0.6264048994331237,38.96081566810608
8,10,5771.172789574518,234.49565000000015,1.0,0.9,0.9,0.6345579136040231,36.169368267059326
9,10,2874.2560001657625,114.40864000000008,1.0,0.9,0.9,0.48879574473026344,28.664233684539795
10,10,4768.889227996125,180.23567000000008,1.0,0.9,0.9,0.6386712614831592,33.096736907958984
