episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,5884.983349799097,230.92038000000016,1.0,0.9,0.9,0.6396637634926589,44.16838216781616
2,10,4834.747059601525,234.0750300000002,1.0,0.8,0.8,0.5115854823907792,52.3727502822876
3,10,2779.649469548053,119.87670000000007,1.0,0.9,0.9,0.460279143907776,39.38845109939575
4,10,5833.460896443374,238.07092000000017,1.0,0.8,0.8,0.6248469473130621,42.79293632507324
5,10,3649.708603259598,162.35932000000005,1.0,0.9,0.9,0.5069252076760715,32.26212406158447
6,10,8682.026874481528,345.11871000000025,1.0,0.7,0.7,0.7161066517113264,37.99638652801514
7,10,6798.101190141829,287.4937700000003,1.0,0.8,0.8,0.6000153360423714,45.516210079193115
8,10,5745.672615001767,242.90805000000017,1.0,0.9,0.9,0.6021025705801845,43.2204749584198
9,10,2861.23946378998,107.46841000000002,1.0,0.9,0.9,0.5116188923441282,36.38793134689331
10,10,4792.909150260784,183.81094000000022,1.0,0.8,0.8,0.6313470497689023,41.700716495513916
