episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,5396.585464476468,69.82291999999997,1.0,0.9,0.9,0.7115646603237344,1.9541940689086914
2,10,4468.651825620322,55.94245999999998,1.0,1.0,1.0,0.6599531709860669,1.6661202907562256
3,10,2359.652759748613,34.280529999999985,1.0,1.0,1.0,0.543302258565722,1.6289622783660889
4,10,5121.587246108053,56.783699999999975,1.0,0.9,0.9,0.6955019653987499,1.6856348514556885
5,10,3178.56340956269,46.268199999999986,1.0,0.9,0.9,0.5978609009682138,1.4258694648742676
6,10,8006.908204888695,98.63538999999996,1.0,0.9,0.9,0.7905061970226863,2.169006824493408
7,10,6272.957458199036,84.54461999999997,1.0,0.7,0.7,0.6504463374077427,3.221963405609131
8,10,5103.520698993152,54.890910000000005,1.0,1.0,1.0,0.7397368759406745,2.34121036529541
9,10,2280.028846355982,31.125879999999984,1.0,0.9,0.9,0.546520689978598,2.3625876903533936
10,10,4340.538000194316,58.67648999999998,1.0,0.7,0.7,0.6633982486770065,2.4384939670562744
