episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,5722.107025076747,254.47510000000003,1.0,0.9,0.9,0.5997194521557371,59.21440100669861
2,10,4795.673092674639,180.86660000000015,1.0,0.7,0.7,0.632766174252306,42.40775752067566
3,10,2840.055798881887,105.78593000000016,1.0,1.0,1.0,0.4844589113175655,39.03994154930115
4,10,5717.114253049157,239.54308999999998,1.0,0.8,0.8,0.6367866978986614,51.293575286865234
5,10,3671.2112198214827,148.4788600000001,1.0,0.7,0.7,0.5435873923758707,38.39767289161682
6,10,8592.604060525042,338.3887900000002,1.0,0.9,0.9,0.746610180486049,47.763158559799194
7,10,6640.510319476084,270.87928000000016,1.0,0.8,0.8,0.6670671731021593,50.10171341896057
8,10,5701.234038121406,223.55953,1.0,0.9,0.9,0.6855264207208128,41.96535611152649
9,10,2762.106433059216,122.19011000000012,1.0,1.0,1.0,0.4565488032376421,41.80277633666992
10,10,4755.8001318990755,182.96970000000022,1.0,0.9,0.9,0.6178839813675454,43.22614002227783
