episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,5862.684601985081,247.11425000000014,1.0,0.9,0.9,0.5905008781687142,39.14035367965698
2,10,4770.377902298735,213.0440300000002,1.0,0.9,0.9,0.5660549178854133,41.20206141471863
3,10,2880.313909262329,104.94469000000012,1.0,0.9,0.9,0.5291323765005378,29.08594274520874
4,10,5807.556437031447,225.66263000000012,1.0,0.9,0.9,0.6595933845340528,36.308019161224365
5,10,3758.5494067103623,155.83971000000003,1.0,0.7,0.7,0.5246165572057059,28.432015895843506
6,10,8734.672947345623,321.3536800000002,1.0,0.8,0.8,0.7250403525534252,37.841259241104126
7,10,6764.633333374479,262.6771900000004,1.0,0.8,0.8,0.6362231580449282,58.20291256904602
8,10,5720.890014907491,224.61108000000013,1.0,1.0,1.0,0.6484181529325062,51.83621859550476
9,10,2859.485707371245,111.25399000000002,1.0,0.9,0.9,0.496173793707324,46.17921233177185
10,10,4875.114707915181,180.02536000000015,1.0,0.9,0.9,0.6439001490040737,41.218339681625366
