episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,5553.95550325193,194.74706,1.0,0.9,0.9,0.6832772019126131,31.762372732162476
2,10,4587.096557569172,144.06234999999995,1.0,0.9,0.9,0.6979158447029934,21.427255153656006
3,10,2671.900908816281,79.28687,1.0,1.0,1.0,0.5712756631244743,19.11132550239563
4,10,5505.4933051308235,194.74706000000023,1.0,0.9,0.9,0.692899585139236,24.179959535598755
5,10,3441.8285548405984,126.60662000000005,1.0,1.0,1.0,0.6624395510478829,18.827813625335693
6,10,8395.51744896074,290.2278,1.0,1.0,1.0,0.8167429415228307,31.310835361480713
7,10,6436.350984056526,229.86883000000006,1.0,0.8,0.8,0.7267867051614397,30.503800630569458
8,10,5474.953862252805,186.33466000000004,1.0,0.9,0.9,0.7365526591563427,24.096171617507935
9,10,2642.4053057648102,89.59206000000015,1.0,0.9,0.9,0.5792337239314579,18.731678247451782
10,10,4670.118554094275,169.72017000000008,1.0,0.7,0.7,0.6873091478133374,22.538002967834473
