episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate
1,2,6727.530038159741,398.5374499999999,0.05182150409268637,1.3158490950748563,0.5
2,2,1978.1686746987943,103.05190000000009,0.034548107635507884,0.5653411082619452,0.5
3,2,1326.5257104112475,129.34065000000015,0.055105547066646485,0.35667009520956305,1.0
4,2,6883.416927470282,340.70219999999995,0.0527846671325478,0.7049809953445046,0.5
5,2,6374.769055479321,287.0731500000003,0.07873806834389303,0.29993912945762546,1.0
6,2,6348.284354037854,340.70220000000046,0.07703041336343658,0.45218021443112066,1.0
7,2,6316.695633184039,268.14525000000015,0.07846629141949049,0.7465235229361421,0.5
8,2,6663.469896567169,355.42390000000023,0.05170812867779005,0.7550992664910715,0.5
9,2,1401.8935970971966,104.10345000000018,0.08050008066538285,0.5599924296112135,0.5
10,2,6438.215899812554,255.5266500000002,0.07717302663493258,0.5278746268242192,1.0
