episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,2,6727.530038159741,398.5374499999999,1.0,0.5,0.5,0.47601854446208625,2.3181164264678955
2,2,1978.1686746987943,103.05190000000009,1.0,0.5,0.5,0.3094409383566011,1.9202404022216797
3,2,1326.5257104112475,129.34065000000015,1.0,1.0,1.0,0.17638176917244403,1.8340206146240234
4,2,6883.416927470282,340.70219999999995,1.0,0.5,0.5,0.4781765952699688,2.6999683380126953
5,2,6374.769055479321,287.0731500000003,1.0,1.0,1.0,0.6585305649475374,1.847653865814209
6,2,6348.284354037854,340.70220000000046,1.0,1.0,1.0,0.5268880807340838,1.6806278228759766
7,2,6316.695633184039,268.14525000000015,1.0,0.5,0.5,0.6404028558679161,2.0362167358398438
8,2,6663.469896567169,355.42390000000023,1.0,0.5,0.5,0.47664474893036174,2.316575288772583
9,2,1401.8935970971966,104.10345000000018,1.0,0.5,0.5,0.15207316358588113,1.4795560836791992
10,2,6438.215899812554,255.5266500000002,1.0,1.0,1.0,0.6581638768111934,1.9928827285766602
