episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,6173.493917727236,633.0331000000035,1.0,1.0,1.0,0.7418850367919368,967.6986222267151
2,10,5253.0057813117255,524.7234500000025,1.0,1.0,1.0,0.6881641901269597,707.5887823104858
3,10,3482.9677280932956,313.36190000000096,1.0,1.0,1.0,0.5140205941217794,463.24432396888733
4,10,6050.365288400128,624.6207000000035,1.0,0.9,0.9,0.6959348964326505,1203.1846714019775
5,10,4605.312010402632,420.409690000001,1.0,1.0,1.0,0.6754840819995056,561.094899892807
6,10,9036.216024452198,964.9022800000077,1.0,1.0,1.0,0.7953008416650403,2001.405868768692
7,10,7218.303071735337,816.8440400000052,1.0,0.9,0.9,0.7501825947961054,1218.6243228912354
8,10,6420.355474370228,596.0185400000036,1.0,1.0,1.0,0.748027334795484,1068.4265143871307
9,10,3570.131253620619,253.00293000000065,1.0,0.8,0.8,0.615155147484323,364.9963276386261
10,10,5255.089647446903,545.1235200000037,1.0,0.8,0.8,0.7055175338494,1014.320677280426
