episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,5999.8389018404205,482.45114000000206,1.0,1.0,1.0,0.7312537078163245,531.2797589302063
2,10,5102.347288270642,383.60544000000084,1.0,0.9,0.9,0.7139281501544507,349.7160186767578
3,10,3165.341186836784,199.16357000000033,1.0,1.0,1.0,0.5743590245990785,156.14874744415283
4,10,5928.263534018285,432.1870500000006,1.0,0.9,0.9,0.7039028330726775,282.03733587265015
5,10,4175.137216343867,277.8195100000003,1.0,0.9,0.9,0.6383905633320769,192.82082319259644
6,10,8739.976902683968,649.0166600000022,1.0,1.0,1.0,0.8070529021853953,510.2067241668701
7,10,6864.36341455708,553.7462300000018,1.0,0.8,0.8,0.7260438293426531,429.29200053215027
8,10,5912.939171749863,469.20161000000115,1.0,1.0,1.0,0.7278190580210928,352.0015034675598
9,10,3230.8334518949932,180.86660000000006,1.0,0.9,0.9,0.6280875134525028,141.11335110664368
10,10,5010.579345368767,405.0570600000013,1.0,0.8,0.8,0.7126265424710866,227.2824583053589
