episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,5396.585464476468,69.82291999999997,1.0,0.9,0.9,0.7115646603237344,1.8389239311218262
2,10,4468.651825620322,55.94245999999998,1.0,1.0,1.0,0.6599531709860669,1.4667689800262451
3,10,2359.652759748613,34.280529999999985,1.0,1.0,1.0,0.543302258565722,1.5993809700012207
4,10,5121.587246108053,56.783699999999975,1.0,0.9,0.9,0.6955019653987499,1.6430797576904297
5,10,3178.56340956269,46.268199999999986,1.0,0.9,0.9,0.5978609009682138,1.3886008262634277
6,10,8006.908204888695,98.63538999999996,1.0,0.9,0.9,0.7905061970226863,1.9465363025665283
7,10,6272.957458199036,84.54461999999997,1.0,0.7,0.7,0.6504463374077427,2.1687963008880615
8,10,5103.520698993152,54.890910000000005,1.0,1.0,1.0,0.7397368759406745,1.5502731800079346
9,10,2280.028846355982,31.125879999999984,1.0,0.9,0.9,0.546520689978598,1.5474674701690674
10,10,4340.538000194316,58.67648999999998,1.0,0.7,0.7,0.6633982486770065,1.536710262298584
