x,raw_reward,cleaned_reward
1,0.223124650,0.200000000
2,0.192068608,0.216918459
3,0.216673861,0.231757234
4,0.259719644,0.246185001
5,0.234041336,0.260316640
6,0.276891073,0.274198481
7,0.289394776,0.287852984
8,0.318002251,0.301292258
9,0.265367253,0.314523689
10,0.302259985,0.327552748
11,0.365226782,0.340384545
12,0.310763458,0.353024758
13,0.348292152,0.365480193
14,0.364243017,0.377759113
15,0.412385671,0.389871407
16,0.391130186,0.401828636
17,0.436901042,0.413643995
18,0.424872952,0.425332191
19,0.344033862,0.436909261
20,0.393351065,0.448392351
21,0.477804123,0.459799442
22,0.496790676,0.471149055
23,0.456120323,0.482459933
24,0.494004619,0.493750708
25,0.494782817,0.505039564
26,0.520466728,0.516343913
27,0.530631558,0.527680066
28,0.502491850,0.539062941
29,0.557072143,0.550505781
30,0.570481012,0.562019917
31,0.578269941,0.573614557
32,0.623860015,0.585296627
33,0.580942648,0.597070647
34,0.594678103,0.608938663
35,0.587274156,0.620900225
36,0.659612860,0.632952416
37,0.621998575,0.645089929
38,0.672678786,0.657305195
39,0.670792145,0.669588556
40,0.660632832,0.681928477
41,0.695009555,0.694311802
42,0.751380472,0.706724035
43,0.706842457,0.719149657
44,0.733802158,0.731572456
45,0.682170894,0.743975875
46,0.749485436,0.756343368
47,0.750429614,0.768658751
48,0.806411446,0.780906548
49,0.741530728,0.793072326
50,0.784029863,0.800000000
51,0.822787245,0.846417881
52,0.877940704,0.851601522
53,0.804046354,0.850069446
54,0.788454682,0.851858234
55,0.838036951,0.849067160
56,0.905694358,0.851500686
57,0.846046139,0.844872742
58,0.828612225,0.843275607
59,0.860540612,0.853344814
60,0.858027761,0.841825887
61,0.868500905,0.844209238
62,0.842374526,0.838370796
63,0.812959064,0.831837726
64,0.816609317,0.837089877
65,0.805240824,0.833094697
66,0.836834019,0.849493733
67,0.820494086,0.845212263
68,0.814975427,0.837983378
69,0.832906908,0.838233982
70,0.793990513,0.834899586
71,0.871043409,0.847682930
72,0.780000000,0.834243395
73,0.845785997,0.846004186
74,0.872410244,0.838053369
75,0.828040044,0.839054934
76,0.839371439,0.847227454
77,0.866421736,0.829575338
78,0.780000000,0.834285943
79,0.797618982,0.835262341
80,0.808320923,0.841354454
81,0.823552263,0.836192670
82,0.791241782,0.835636959
83,0.789602727,0.834944292
84,0.780000000,0.844622081
85,0.850614981,0.840040625
86,0.838010302,0.837012627
87,0.780000000,0.843983761
88,0.846410531,0.842909630
89,0.787639784,0.842656810
90,0.833493101,0.839438965
91,0.850722037,0.844164379
92,0.826199919,0.829622655
93,0.867067934,0.838843768
94,0.815211936,0.841981837
95,0.870726332,0.851146761
96,0.831932301,0.843860338
97,0.849607963,0.855018873
98,0.837430355,0.856549776
99,0.839464391,0.848755120
100,0.911104385,0.851679194
101,0.780000000,0.841510607
102,0.869079507,0.854998163
103,0.872638222,0.854663770
104,0.840119934,0.850055379
105,0.865564016,0.839770516
106,0.920000000,0.866337988
107,0.892312810,0.854030795
108,0.864048092,0.856963536
109,0.846865168,0.862463286
110,0.892531125,0.852544447
111,0.814585721,0.854604209
112,0.863389246,0.848657317
113,0.827454533,0.864253607
114,0.843325587,0.863239948
115,0.841352739,0.867516298
116,0.869515741,0.863227584
117,0.851134232,0.865698397
118,0.857867510,0.859061203
119,0.851101593,0.853713042
120,0.788753231,0.857645483
121,0.805199835,0.864942352
122,0.885441447,0.856847424
123,0.919771937,0.861337366
124,0.824434341,0.865535112
125,0.835569085,0.856036701
126,0.855341247,0.855823623
127,0.866652783,0.863486143
128,0.878777704,0.870614185
129,0.851048140,0.857916833
130,0.920000000,0.850330041
131,0.877607833,0.863423895
132,0.873014462,0.865380712
133,0.834978417,0.855297036
134,0.857891263,0.853662719
135,0.873763379,0.856518110
136,0.858550341,0.856667776
137,0.876966368,0.859198298
138,0.897824041,0.853000419
139,0.887402291,0.864135628
140,0.919012336,0.856549319
141,0.852287917,0.844163423
142,0.877685942,0.849578915
143,0.852658175,0.844645207
144,0.798943259,0.852913124
145,0.781951966,0.843498578
146,0.878750157,0.837298710
147,0.874079494,0.840258201
148,0.780000000,0.839851329
149,0.780000000,0.836392160
150,0.806683413,0.838273969
151,0.854837644,0.842176855
152,0.874731344,0.839814861
153,0.870765375,0.834581671
154,0.854983354,0.833478888
155,0.838361780,0.833162673
156,0.841484116,0.829276767
157,0.853913236,0.827279670
158,0.858925286,0.827606971
159,0.811871532,0.829645451
160,0.842141300,0.827100985
161,0.852787036,0.825741691
162,0.780000000,0.811280114
163,0.787717312,0.819715639
164,0.852357703,0.825101592
165,0.780000000,0.822653454
166,0.837742835,0.827466295
167,0.870941586,0.812959791
168,0.815608564,0.821060883
169,0.780000000,0.812793855
170,0.803562295,0.825614382
171,0.858309026,0.818789135
172,0.780000000,0.820445615
173,0.819720229,0.831359623
174,0.824325001,0.818858661
175,0.780000000,0.811774585
176,0.780000000,0.808644273
177,0.851101550,0.822739949
178,0.805346769,0.816740385
179,0.780000000,0.817350619
180,0.853971805,0.814561000
181,0.858028748,0.818570899
182,0.803047084,0.815409502
183,0.836011695,0.816619300
184,0.913874410,0.822295166
185,0.780000000,0.819618532
186,0.780000000,0.808661840
187,0.887094505,0.823381449
188,0.854689619,0.824624171
189,0.830900073,0.826697989
190,0.853183573,0.820120559
191,0.816903435,0.831249537
192,0.822206847,0.828690644
193,0.882797172,0.829124705
194,0.862167159,0.826790816
195,0.782617936,0.830811138
196,0.814000600,0.825670730
197,0.855018741,0.842558142
198,0.844904597,0.831383298
199,0.889629476,0.826758458
200,0.845252102,0.832785489
201,0.853958930,0.824672441
202,0.868720933,0.834743577
203,0.851931553,0.832609401
204,0.840111736,0.828266846
205,0.827682525,0.848376683
206,0.897979931,0.839634328
207,0.869606434,0.850886143
208,0.841737235,0.844147665
209,0.867314791,0.843689944
210,0.788509373,0.852287781
211,0.836878138,0.848157878
212,0.860760235,0.850953135
213,0.821056585,0.851509118
214,0.885608855,0.850996763
215,0.817227419,0.850202393
216,0.800658237,0.855979642
217,0.890484291,0.858157392
218,0.885231983,0.855805967
219,0.824336310,0.855020001
220,0.836047809,0.847708976
221,0.838146550,0.864611011
222,0.912489971,0.867883945
223,0.861214865,0.854860029
224,0.850526550,0.857225176
225,0.855924393,0.853125568
226,0.883249467,0.860422913
227,0.861825911,0.863693863
228,0.832006127,0.852513242
229,0.859085226,0.865427370
230,0.875828655,0.858835828
231,0.876853473,0.860925654
232,0.917386867,0.861121198
233,0.806497554,0.866788892
234,0.855521404,0.867688289
235,0.837427247,0.861850169
236,0.902245244,0.849119297
237,0.812079883,0.861848796
238,0.876499841,0.869204543
239,0.836441406,0.864942053
240,0.848758930,0.866364771
241,0.857629908,0.868769031
242,0.820405143,0.847819617
243,0.814572156,0.866341891
244,0.859372066,0.865275006
245,0.827961619,0.850175636
246,0.847712851,0.842999971
247,0.842716262,0.858382769
248,0.868773424,0.846636720
249,0.848510709,0.850978735
250,0.822152028,0.847145041
251,0.865113768,0.833323000
252,0.881011688,0.839355474
253,0.817046067,0.844572683
254,0.820448903,0.853542756
255,0.780000000,0.841242332
256,0.879279564,0.852535709
257,0.870628663,0.843436583
258,0.849373911,0.853079211
259,0.814291773,0.838810770
260,0.819931646,0.840663613
261,0.823188983,0.850973804
262,0.889364764,0.851743614
263,0.828164971,0.853982616
264,0.894984565,0.850277998
