episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,20,5050.930901772621,161.30777000000006,1.0,0.9,0.9,0.6970402189566351,85.33888816833496
2,20,4023.894651296606,115.98596499999996,1.0,0.95,0.95,0.7035553798204398,52.5434775352478
3,20,4536.312732002866,143.01079999999996,1.0,1.0,1.0,0.709862876938533,50.96309447288513
4,20,5574.9722802213355,185.59857500000004,1.0,0.9,0.9,0.7743892096856186,85.7654345035553
5,20,4445.639907908261,144.79843500000007,1.0,0.95,0.95,0.6945760937116477,64.77288103103638
6,20,7446.012240443515,231.76162000000005,1.0,0.95,0.95,0.8013614649577774,112.92158675193787
7,20,5497.908009394432,189.594465,1.0,0.9,0.9,0.7491164161443057,88.68989968299866
8,20,6468.7482855220715,204.84194000000002,1.0,0.9,0.9,0.7438458858264112,97.78288531303406
9,20,4024.124619061826,127.23755000000014,1.0,0.9,0.9,0.6882514421049802,49.51525354385376
10,20,5075.737904487667,161.41292500000006,1.0,0.85,0.85,0.7403725129255233,64.37681484222412
