episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,5708.719948622731,253.21324000000004,1.0,0.9,0.9,0.6076243658484751,40.76191258430481
2,10,4815.462086195182,182.96970000000016,1.0,0.8,0.8,0.6478860350468649,31.612032175064087
3,10,2765.9729864657206,113.56740000000013,1.0,1.0,1.0,0.4652551346527254,23.769410371780396
4,10,5728.249685525202,241.22557000000006,1.0,0.8,0.8,0.6333290325707055,33.550806760787964
5,10,3593.4792119871445,154.15723000000008,1.0,0.8,0.8,0.5339335179211081,25.51562213897705
6,10,8610.71740693239,338.3887900000002,1.0,0.9,0.9,0.7476211624501468,37.64305782318115
7,10,6584.836971696646,269.8277300000002,1.0,0.8,0.8,0.6703722127707089,37.07029151916504
8,10,5740.403835797952,222.71829000000008,1.0,0.9,0.9,0.6807420887716145,32.39828038215637
9,10,2793.969676053092,122.40042000000008,1.0,1.0,1.0,0.458939111107996,30.598187923431396
10,10,4698.680595501166,180.6562900000003,1.0,1.0,1.0,0.6206703803816038,32.39797520637512
