episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,5836.618547481868,221.66674000000017,1.0,0.9,0.9,0.6661623587047835,70.36029386520386
2,10,4856.148333911185,224.19046000000012,1.0,0.9,0.9,0.5332159403483051,73.5166540145874
3,10,2738.185672198936,126.8169300000001,1.0,0.8,0.8,0.437655253783496,67.96923565864563
4,10,5764.555133704738,235.54720000000006,1.0,0.9,0.9,0.6461944422812828,69.01032733917236
5,10,3608.267075752068,163.2005600000001,1.0,0.7,0.7,0.5183545558597494,50.816795349121094
6,10,8658.394800915139,354.5826600000002,1.0,0.9,0.9,0.6910115500243226,70.82058525085449
7,10,6793.621942580483,280.7638500000004,1.0,0.8,0.8,0.6216085372628853,71.67138433456421
8,10,5763.248403047248,238.91216000000023,1.0,0.9,0.9,0.6235473196693417,65.17226266860962
9,10,2879.5502698807427,117.98391000000011,1.0,0.9,0.9,0.4763987512044961,54.42923665046692
10,10,4814.264042651526,181.91815000000014,1.0,0.9,0.9,0.6320719028685221,66.77590680122375
