episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate,utilization,execution_time
1,10,5381.946442438073,68.56105999999997,1.0,0.9,0.9,0.7093270356057352,1.3524060249328613
2,10,4487.488904018533,58.255869999999994,1.0,0.9,0.9,0.6574906591540294,1.1896421909332275
3,10,2368.633018128193,32.177429999999994,1.0,1.0,1.0,0.5708112336829738,1.226790428161621
4,10,5107.125413403855,56.99400999999999,1.0,0.9,0.9,0.7090507049844399,1.489650011062622
5,10,3161.76453650287,46.057889999999986,1.0,0.9,0.9,0.5978609009682142,1.190711259841919
6,10,7952.005431186447,98.21476999999997,1.0,0.9,0.9,0.7852594744760759,1.74810791015625
7,10,6269.162106825241,83.07244999999996,1.0,0.7,0.7,0.6457556186283598,1.9247560501098633
8,10,5095.5036755034935,54.259980000000006,1.0,1.0,1.0,0.7249912903737508,1.3562872409820557
9,10,2281.630175220741,31.125879999999984,1.0,0.9,0.9,0.5396462158908171,1.318373441696167
10,10,4349.71642591514,59.728039999999986,1.0,0.8,0.8,0.6842107427531476,1.37673020362854
