episode,workflow_count,mean_makespan,mean_cost,deadline_success_rate,budget_success_rate,both_success_rate
1,5,7606.569933412689,319.6711999999999,0.054194325116120615,0.4127783175613984,0.8
2,5,3827.462977967548,161.9387,0.051601305865692795,0.354263111449645,0.8
3,5,3723.36719263072,143.01079999999996,0.05274919541325264,0.20287141368953837,1.0
4,5,3592.1523131567833,158.15312000000003,0.05962211134755051,0.3179799991125451,0.8
5,5,3542.136651562369,149.74072000000015,0.06365261451775964,0.2750918223094291,1.0
6,5,9414.044793618994,384.4466799999997,0.07230019701615616,0.27595114636588003,1.0
7,5,7487.991960440803,305.79074,0.06565954432300894,0.45682052067788115,0.8
8,5,5592.36811033558,268.77617999999995,0.05604887301969991,0.3583522712824374,0.8
9,5,3519.0244207106834,158.57374000000027,0.05869576112429148,0.40752520175427814,0.8
10,5,7487.144341265538,311.25880000000035,0.07748791718504341,0.523116184958388,0.6
